ctgov,cause,dist,parameter1,parameter2,r
NCT00034840,Lack of Efficacy,exp,1,rate,8.333e-02
NCT00051558,Adverse Event,exp,1,rate,2.083e-02
NCT00051558,Lost to Follow-up,exp,1,rate,6.667e-02
NCT00051558,Other/Miscellaneous,exp,1,rate,3.125e-02
NCT00051558,PI/Sponsor Decision,exp,1,rate,8.333e-02
NCT00051558,Voluntary Withdrawal,exp,1,rate,1.429e-02
NCT00125918,Adverse Event,exp,1,rate,2.174e-02
NCT00152984,Adverse Event,exp,1,rate,8.333e-02
NCT00153023,Adverse Event,exp,1,rate,1.136e-02
NCT00153023,Other/Miscellaneous,exp,1,rate,4.545e-02
NCT00153023,Protocol Violation,exp,1,rate,6.250e-02
NCT00153023,Voluntary Withdrawal,exp,1,rate,3.448e-02
NCT00153088,Adverse Event,exp,1,rate,1.754e-02
NCT00153088,Voluntary Withdrawal,exp,1,rate,8.333e-02
NCT00168831,Adverse Event,exp,1,rate,6.369e-03
NCT00168831,Lost to Follow-up,exp,1,rate,7.143e-02
NCT00168831,Other/Miscellaneous,exp,1,rate,6.667e-02
NCT00168831,Protocol Violation,exp,1,rate,3.571e-02
NCT00168831,Voluntary Withdrawal,exp,1,rate,2.500e-02
NCT00168844,Adverse Event,exp,1,rate,9.009e-03
NCT00168844,Lost to Follow-up,exp,1,rate,5.000e-02
NCT00168844,Other/Miscellaneous,exp,1,rate,4.762e-02
NCT00168844,Voluntary Withdrawal,exp,1,rate,2.703e-02
NCT00168857,Adverse Event,exp,1,rate,1.053e-02
NCT00168857,Lost to Follow-up,exp,1,rate,8.333e-02
NCT00168857,Other/Miscellaneous,exp,1,rate,5.556e-02
NCT00168857,Protocol Violation,exp,1,rate,3.571e-02
NCT00168857,Voluntary Withdrawal,exp,1,rate,6.250e-02
NCT00239421,Adverse Event,exp,1,rate,7.143e-02
NCT00274014,Adverse Event,exp,1,rate,9.091e-03
NCT00274014,Lost to Follow-up,exp,1,rate,3.125e-02
NCT00274014,Other/Miscellaneous,exp,1,rate,2.564e-02
NCT00274014,Protocol Violation,exp,1,rate,4.000e-02
NCT00274014,Voluntary Withdrawal,exp,1,rate,2.174e-02
NCT00274053,Adverse Event,exp,1,rate,2.273e-02
NCT00274053,Other/Miscellaneous,exp,1,rate,7.143e-02
NCT00274053,Protocol Violation,exp,1,rate,4.762e-02
NCT00274053,Voluntary Withdrawal,exp,1,rate,4.000e-02
NCT00274079,Adverse Event,exp,1,rate,3.030e-02
NCT00274547,Adverse Event,exp,1,rate,3.922e-03
NCT00274547,Lost to Follow-up,exp,1,rate,1.000e-01
NCT00274547,Other/Miscellaneous,exp,1,rate,4.167e-02
NCT00274547,Protocol Violation,exp,1,rate,2.778e-02
NCT00274547,Voluntary Withdrawal,exp,1,rate,1.613e-02
NCT00274560,Adverse Event,exp,1,rate,2.174e-02
NCT00274560,Voluntary Withdrawal,exp,1,rate,8.333e-02
NCT00274573,Adverse Event,exp,1,rate,4.902e-03
NCT00274573,Other/Miscellaneous,exp,1,rate,3.226e-02
NCT00274573,Protocol Violation,exp,1,rate,5.556e-02
NCT00274573,Voluntary Withdrawal,exp,1,rate,3.571e-02
NCT00274599,Adverse Event,exp,1,rate,2.941e-02
NCT00274599,Lack of Efficacy,exp,1,rate,8.333e-02
NCT00274599,Lost to Follow-up,exp,1,rate,1.000e-01
NCT00274599,Other/Miscellaneous,exp,1,rate,1.000e-01
NCT00274599,Voluntary Withdrawal,exp,1,rate,5.556e-02
NCT00274612,Adverse Event,exp,1,rate,2.778e-02
NCT00274612,Lack of Efficacy,exp,1,rate,1.000e-01
NCT00274612,Other/Miscellaneous,exp,1,rate,5.882e-02
NCT00277264,Adverse Event,exp,1,rate,9.009e-03
