ctgov,cause,dist,parameter,est,se
NCT00034840,Lack of Efficacy,exp,rate,-7.723e+00,2.887e-01
NCT00051558,Adverse Event,exp,rate,-8.881e+00,1.443e-01
NCT00051558,Lost to Follow-up,exp,rate,-1.004e+01,2.582e-01
NCT00051558,Other/Miscellaneous,exp,rate,-9.286e+00,1.768e-01
NCT00051558,PI/Sponsor Decision,exp,rate,-1.027e+01,2.887e-01
NCT00051558,Voluntary Withdrawal,exp,rate,-8.504e+00,1.195e-01
NCT00125918,Adverse Event,exp,rate,-6.829e+00,1.474e-01
NCT00152984,Adverse Event,exp,rate,-8.110e+00,2.887e-01
NCT00153023,Adverse Event,exp,rate,-8.073e+00,1.066e-01
NCT00153023,Other/Miscellaneous,exp,rate,-9.459e+00,2.132e-01
NCT00153023,Protocol Violation,exp,rate,-9.778e+00,2.500e-01
NCT00153023,Voluntary Withdrawal,exp,rate,-9.183e+00,1.857e-01
NCT00153088,Adverse Event,exp,rate,-8.392e+00,1.325e-01
NCT00153088,Voluntary Withdrawal,exp,rate,-9.950e+00,2.887e-01
NCT00168831,Adverse Event,exp,rate,-7.503e+00,7.981e-02
NCT00168831,Lost to Follow-up,exp,rate,-9.920e+00,2.673e-01
NCT00168831,Other/Miscellaneous,exp,rate,-9.851e+00,2.582e-01
NCT00168831,Protocol Violation,exp,rate,-9.227e+00,1.890e-01
NCT00168831,Voluntary Withdrawal,exp,rate,-8.871e+00,1.581e-01
NCT00168844,Adverse Event,exp,rate,-7.865e+00,9.492e-02
NCT00168844,Lost to Follow-up,exp,rate,-9.579e+00,2.236e-01
NCT00168844,Other/Miscellaneous,exp,rate,-9.530e+00,2.182e-01
NCT00168844,Voluntary Withdrawal,exp,rate,-8.964e+00,1.644e-01
NCT00168857,Adverse Event,exp,rate,-7.981e+00,1.026e-01
NCT00168857,Lost to Follow-up,exp,rate,-1.005e+01,2.887e-01
NCT00168857,Other/Miscellaneous,exp,rate,-9.645e+00,2.357e-01
NCT00168857,Protocol Violation,exp,rate,-9.203e+00,1.890e-01
NCT00168857,Voluntary Withdrawal,exp,rate,-9.762e+00,2.500e-01
NCT00239421,Adverse Event,exp,rate,-7.532e+00,2.673e-01
NCT00274014,Adverse Event,exp,rate,-7.894e+00,9.535e-02
NCT00274014,Lost to Follow-up,exp,rate,-9.129e+00,1.768e-01
NCT00274014,Other/Miscellaneous,exp,rate,-8.931e+00,1.601e-01
NCT00274014,Protocol Violation,exp,rate,-9.376e+00,2.000e-01
NCT00274014,Voluntary Withdrawal,exp,rate,-8.766e+00,1.474e-01
NCT00274053,Adverse Event,exp,rate,-7.988e+00,1.508e-01
NCT00274053,Other/Miscellaneous,exp,rate,-9.133e+00,2.673e-01
NCT00274053,Protocol Violation,exp,rate,-8.728e+00,2.182e-01
NCT00274053,Voluntary Withdrawal,exp,rate,-8.554e+00,2.000e-01
NCT00274079,Adverse Event,exp,rate,-6.805e+00,1.741e-01
NCT00274547,Adverse Event,exp,rate,-7.032e+00,6.262e-02
NCT00274547,Lost to Follow-up,exp,rate,-1.027e+01,3.162e-01
NCT00274547,Other/Miscellaneous,exp,rate,-9.395e+00,2.041e-01
NCT00274547,Protocol Violation,exp,rate,-8.990e+00,1.667e-01
NCT00274547,Voluntary Withdrawal,exp,rate,-8.446e+00,1.270e-01
NCT00274560,Adverse Event,exp,rate,-7.031e+00,1.474e-01
NCT00274560,Voluntary Withdrawal,exp,rate,-8.374e+00,2.887e-01
NCT00274573,Adverse Event,exp,rate,-6.381e+00,7.001e-02
NCT00274573,Other/Miscellaneous,exp,rate,-8.265e+00,1.796e-01
NCT00274573,Protocol Violation,exp,rate,-8.809e+00,2.357e-01
NCT00274573,Voluntary Withdrawal,exp,rate,-8.367e+00,1.890e-01
NCT00274599,Adverse Event,exp,rate,-7.705e+00,1.715e-01
NCT00274599,Lack of Efficacy,exp,rate,-8.747e+00,2.887e-01
NCT00274599,Lost to Follow-up,exp,rate,-8.929e+00,3.162e-01
NCT00274599,Other/Miscellaneous,exp,rate,-8.929e+00,3.162e-01
NCT00274599,Voluntary Withdrawal,exp,rate,-8.341e+00,2.357e-01
NCT00274612,Adverse Event,exp,rate,-7.660e+00,1.667e-01
NCT00274612,Lack of Efficacy,exp,rate,-8.941e+00,3.162e-01
NCT00274612,Other/Miscellaneous,exp,rate,-8.411e+00,2.425e-01
NCT00277264,Adverse Event,exp,rate,-7.742e+00,9.492e-02
NCT00277264,Other/Miscellaneous,exp,rate,-9.886e+00,2.774e-01
NCT00277264,Protocol Violation,exp,rate,-9.812e+00,2.673e-01
NCT00277264,Voluntary Withdrawal,exp,rate,-8.189e+00,1.187e-01
NCT00321854,Adverse Event,exp,rate,-7.672e+00,1.091e-01
NCT00321854,Lack of Efficacy,exp,rate,-8.967e+00,2.085e-01
NCT00321854,Protocol Violation,exp,rate,-9.705e+00,3.015e-01
NCT00321854,Voluntary Withdrawal,exp,rate,-8.967e+00,2.085e-01
NCT00384930,Adverse Event,exp,rate,-7.526e+00,1.474e-01
NCT00384930,Other/Miscellaneous,exp,rate,-8.136e+00,2.000e-01
NCT00384930,PI/Sponsor Decision,exp,rate,-8.716e+00,2.673e-01
NCT00384930,Protocol Violation,exp,rate,-8.957e+00,3.015e-01
NCT00384930,Voluntary Withdrawal,exp,rate,-7.717e+00,1.622e-01
NCT00402233,Adverse Event,exp,rate,-6.839e+00,1.961e-01
NCT00466167,Adverse Event,exp,rate,-8.235e+00,1.925e-01
NCT00466167,Voluntary Withdrawal,exp,rate,-8.640e+00,2.357e-01
NCT00472199,Adverse Event,exp,rate,-7.022e+00,1.543e-01
NCT00472199,Lack of Efficacy,exp,rate,-7.393e+00,1.857e-01
NCT00472199,Voluntary Withdrawal,exp,rate,-8.362e+00,3.015e-01
NCT00479401,Adverse Event,exp,rate,-7.739e+00,1.443e-01
NCT00479401,Voluntary Withdrawal,exp,rate,-8.314e+00,1.925e-01
NCT00525512,Adverse Event,exp,rate,-8.209e+00,1.147e-01
NCT00525512,Lack of Efficacy,exp,rate,-9.650e+00,2.357e-01
NCT00525512,Other/Miscellaneous,exp,rate,-9.321e+00,2.000e-01
NCT00525512,Voluntary Withdrawal,exp,rate,-9.208e+00,1.890e-01
NCT00563381,Adverse Event,exp,rate,-8.359e+00,4.241e-02
NCT00563381,Lack of Efficacy,exp,rate,-1.065e+01,1.336e-01
NCT00563381,Lost to Follow-up,exp,rate,-1.159e+01,2.132e-01
NCT00563381,Other/Miscellaneous,exp,rate,-1.062e+01,1.313e-01
NCT00563381,Protocol Violation,exp,rate,-9.745e+00,8.482e-02
NCT00563381,Voluntary Withdrawal,exp,rate,-8.686e+00,4.994e-02
NCT00601250,Adverse Event,exp,rate,-9.261e+00,3.015e-01
NCT00601250,Other/Miscellaneous,exp,rate,-9.357e+00,3.162e-01
NCT00601250,Voluntary Withdrawal,exp,rate,-8.826e+00,2.425e-01
NCT00602472,Adverse Event,exp,rate,-8.733e+00,1.890e-01
NCT00602472,Protocol Violation,exp,rate,-8.974e+00,2.132e-01
NCT00602472,Voluntary Withdrawal,exp,rate,-9.021e+00,2.182e-01
NCT00622284,Adverse Event,exp,rate,-8.767e+00,8.138e-02
NCT00622284,Lack of Efficacy,exp,rate,-9.690e+00,1.291e-01
NCT00622284,Lost to Follow-up,exp,rate,-1.069e+01,2.132e-01
NCT00622284,Other/Miscellaneous,exp,rate,-9.741e+00,1.325e-01
NCT00622284,Protocol Violation,exp,rate,-1.095e+01,2.425e-01
NCT00622284,Voluntary Withdrawal,exp,rate,-9.873e+00,1.414e-01
