ctgov,cause,dat
NCT00034840,Lack of Efficacy," t=1.000e+00, est=1.000e+00 ; t=1.200e+01, est=1.000e+00 ; t=1.300e+01, est=9.979e-01 ; t=2.600e+01, est=9.979e-01 ; t=2.800e+01, est=9.938e-01 ; t=3.300e+01, est=9.917e-01 ; t=3.600e+01, est=9.917e-01 ; t=3.700e+01, est=9.896e-01 ; t=3.900e+01, est=9.875e-01 ; t=4.100e+01, est=9.791e-01 ; t=4.600e+01, est=9.791e-01 ; t=4.700e+01, est=9.769e-01 ; t=5.200e+01, est=9.769e-01 ; t=5.300e+01, est=9.748e-01 ; t=8.400e+01, est=9.748e-01 "
NCT00051558,Adverse Event," t=1.000e+00, est=1.000e+00 ; t=2.600e+01, est=9.859e-01 ; t=3.800e+01, est=9.859e-01 ; t=4.300e+01, est=9.788e-01 ; t=5.700e+01, est=9.716e-01 ; t=1.070e+02, est=9.716e-01 ; t=1.190e+02, est=9.615e-01 ; t=1.470e+02, est=9.590e-01 ; t=1.670e+02, est=9.513e-01 ; t=2.110e+02, est=9.487e-01 ; t=2.190e+02, est=9.434e-01 ; t=2.630e+02, est=9.434e-01 ; t=3.170e+02, est=9.353e-01 ; t=3.540e+02, est=9.353e-01 ; t=3.680e+02, est=9.298e-01 ; t=4.050e+02, est=9.298e-01 ; t=4.130e+02, est=9.156e-01 ; t=5.340e+02, est=9.069e-01 ; t=5.470e+02, est=9.011e-01 ; t=5.960e+02, est=8.951e-01 ; t=7.050e+02, est=8.951e-01 ; t=7.420e+02, est=8.888e-01 ; t=8.080e+02, est=8.888e-01 ; t=8.190e+02, est=8.824e-01 ; t=9.950e+02, est=8.791e-01 ; t=9.980e+02, est=8.756e-01 ; t=1.077e+03, est=8.686e-01 ; t=1.162e+03, est=8.686e-01 "
NCT00051558,Lost to Follow-up," t=1.000e+00, est=9.977e-01 ; t=5.700e+01, est=9.977e-01 ; t=6.100e+01, est=9.952e-01 ; t=7.700e+01, est=9.952e-01 ; t=8.500e+01, est=9.927e-01 ; t=9.100e+01, est=9.902e-01 ; t=2.190e+02, est=9.902e-01 ; t=2.230e+02, est=9.874e-01 ; t=2.330e+02, est=9.847e-01 ; t=3.920e+02, est=9.847e-01 ; t=3.990e+02, est=9.817e-01 ; t=4.180e+02, est=9.817e-01 ; t=4.310e+02, est=9.786e-01 ; t=6.790e+02, est=9.786e-01 ; t=6.810e+02, est=9.753e-01 ; t=6.880e+02, est=9.753e-01 ; t=6.970e+02, est=9.719e-01 ; t=7.280e+02, est=9.719e-01 ; t=7.300e+02, est=9.685e-01 ; t=9.190e+02, est=9.685e-01 ; t=9.270e+02, est=9.648e-01 ; t=9.430e+02, est=9.648e-01 ; t=9.720e+02, est=9.611e-01 ; t=9.750e+02, est=9.611e-01 ; t=9.830e+02, est=9.574e-01 ; t=9.840e+02, est=9.537e-01 ; t=1.162e+03, est=9.537e-01 "
NCT00051558,Other/Miscellaneous," t=1.000e+00, est=1.000e+00 ; t=2.600e+01, est=1.000e+00 ; t=3.500e+01, est=9.905e-01 ; t=1.060e+02, est=9.856e-01 ; t=1.110e+02, est=9.805e-01 ; t=1.260e+02, est=9.805e-01 ; t=1.340e+02, est=9.728e-01 ; t=2.330e+02, est=9.701e-01 ; t=2.560e+02, est=9.620e-01 ; t=3.010e+02, est=9.592e-01 ; t=3.060e+02, est=9.537e-01 ; t=3.320e+02, est=9.537e-01 ; t=3.640e+02, est=9.453e-01 ; t=4.130e+02, est=9.425e-01 ; t=4.180e+02, est=9.396e-01 ; t=5.260e+02, est=9.396e-01 ; t=5.290e+02, est=9.366e-01 ; t=5.600e+02, est=9.366e-01 ; t=5.630e+02, est=9.304e-01 ; t=6.740e+02, est=9.273e-01 ; t=6.790e+02, est=9.241e-01 ; t=8.140e+02, est=9.241e-01 ; t=8.190e+02, est=9.208e-01 ; t=8.390e+02, est=9.174e-01 ; t=9.980e+02, est=9.174e-01 ; t=9.990e+02, est=9.138e-01 ; t=1.063e+03, est=9.101e-01 ; t=1.162e+03, est=9.101e-01 "
NCT00051558,PI/Sponsor Decision," t=1.000e+00, est=1.000e+00 ; t=8.500e+01, est=1.000e+00 ; t=9.100e+01, est=9.975e-01 ; t=9.900e+01, est=9.975e-01 ; t=1.060e+02, est=9.949e-01 ; t=1.470e+02, est=9.949e-01 ; t=1.540e+02, est=9.923e-01 ; t=3.680e+02, est=9.923e-01 ; t=3.690e+02, est=9.893e-01 ; t=3.910e+02, est=9.893e-01 ; t=3.920e+02, est=9.863e-01 ; t=3.990e+02, est=9.863e-01 ; t=4.050e+02, est=9.833e-01 ; t=5.570e+02, est=9.833e-01 ; t=5.600e+02, est=9.801e-01 ; t=6.810e+02, est=9.801e-01 ; t=6.880e+02, est=9.768e-01 ; t=7.690e+02, est=9.768e-01 ; t=7.780e+02, est=9.733e-01 ; t=8.650e+02, est=9.733e-01 ; t=8.780e+02, est=9.696e-01 ; t=1.001e+03, est=9.696e-01 ; t=1.016e+03, est=9.658e-01 ; t=1.078e+03, est=9.658e-01 ; t=1.079e+03, est=9.618e-01 ; t=1.162e+03, est=9.618e-01 "
NCT00051558,Voluntary Withdrawal," t=1.000e+00, est=1.000e+00 ; t=2.600e+01, est=1.000e+00 ; t=3.800e+01, est=9.928e-01 ; t=5.400e+01, est=9.928e-01 ; t=7.000e+01, est=9.830e-01 ; t=9.100e+01, est=9.805e-01 ; t=9.900e+01, est=9.706e-01 ; t=1.120e+02, est=9.656e-01 ; t=1.540e+02, est=9.580e-01 ; t=1.890e+02, est=9.451e-01 ; t=3.040e+02, est=9.345e-01 ; t=3.080e+02, est=9.291e-01 ; t=3.640e+02, est=9.236e-01 ; t=3.990e+02, est=9.126e-01 ; t=5.040e+02, est=9.098e-01 ; t=5.470e+02, est=9.011e-01 ; t=5.600e+02, est=8.924e-01 ; t=6.080e+02, est=8.805e-01 ; t=6.970e+02, est=8.746e-01 ; t=7.690e+02, est=8.502e-01 ; t=8.610e+02, est=8.410e-01 ; t=9.180e+02, est=8.253e-01 ; t=9.720e+02, est=8.222e-01 ; t=1.001e+03, est=8.126e-01 ; t=1.069e+03, est=8.093e-01 ; t=1.080e+03, est=8.026e-01 ; t=1.162e+03, est=8.026e-01 "
NCT00125918,Adverse Event," t=1.000e+00, est=9.975e-01 ; t=1.600e+01, est=9.926e-01 ; t=2.100e+01, est=9.876e-01 ; t=2.200e+01, est=9.851e-01 ; t=2.600e+01, est=9.826e-01 ; t=2.700e+01, est=9.752e-01 ; t=2.900e+01, est=9.652e-01 ; t=3.200e+01, est=9.627e-01 ; t=3.500e+01, est=9.577e-01 ; t=4.000e+01, est=9.577e-01 ; t=4.500e+01, est=9.503e-01 ; t=5.300e+01, est=9.453e-01 ; t=5.400e+01, est=9.402e-01 ; t=5.700e+01, est=9.402e-01 ; t=6.000e+01, est=9.377e-01 ; t=6.500e+01, est=9.301e-01 ; t=7.600e+01, est=9.225e-01 ; t=7.900e+01, est=9.225e-01 ; t=8.100e+01, est=9.175e-01 ; t=8.200e+01, est=9.124e-01 ; t=8.300e+01, est=9.022e-01 ; t=8.400e+01, est=8.997e-01 ; t=8.500e+01, est=8.946e-01 ; t=1.010e+02, est=8.869e-01 ; t=1.100e+02, est=8.869e-01 ; t=1.110e+02, est=8.838e-01 ; t=1.460e+02, est=8.838e-01 "
NCT00152984,Adverse Event," t=1.000e+00, est=9.979e-01 ; t=1.300e+01, est=9.958e-01 ; t=2.600e+01, est=9.936e-01 ; t=2.800e+01, est=9.915e-01 ; t=3.200e+01, est=9.894e-01 ; t=3.400e+01, est=9.872e-01 ; t=4.000e+01, est=9.851e-01 ; t=4.300e+01, est=9.830e-01 ; t=5.000e+01, est=9.830e-01 ; t=5.200e+01, est=9.787e-01 ; t=5.800e+01, est=9.787e-01 ; t=6.100e+01, est=9.766e-01 ; t=7.000e+01, est=9.766e-01 ; t=7.300e+01, est=9.744e-01 ; t=1.440e+02, est=9.744e-01 "
NCT00153023,Adverse Event," t=1.000e+00, est=9.966e-01 ; t=2.400e+01, est=9.920e-01 ; t=2.700e+01, est=9.863e-01 ; t=3.700e+01, est=9.769e-01 ; t=4.100e+01, est=9.769e-01 ; t=4.700e+01, est=9.746e-01 ; t=5.200e+01, est=9.698e-01 ; t=6.200e+01, est=9.675e-01 ; t=6.600e+01, est=9.651e-01 ; t=7.100e+01, est=9.591e-01 ; t=9.700e+01, est=9.544e-01 ; t=1.450e+02, est=9.339e-01 ; t=1.750e+02, est=9.315e-01 ; t=1.950e+02, est=9.243e-01 ; t=2.230e+02, est=9.194e-01 ; t=2.340e+02, est=9.194e-01 ; t=2.440e+02, est=9.145e-01 ; t=2.580e+02, est=9.133e-01 ; t=2.630e+02, est=9.084e-01 ; t=2.730e+02, est=9.084e-01 ; t=2.910e+02, est=9.022e-01 ; t=2.920e+02, est=8.998e-01 ; t=3.000e+02, est=8.985e-01 ; t=3.330e+02, est=8.985e-01 ; t=3.350e+02, est=8.960e-01 ; t=3.580e+02, est=8.960e-01 ; t=3.590e+02, est=8.944e-01 ; t=4.190e+02, est=8.944e-01 "
NCT00153023,Other/Miscellaneous," t=1.000e+00, est=9.989e-01 ; t=1.000e+01, est=9.989e-01 ; t=1.300e+01, est=9.966e-01 ; t=1.600e+01, est=9.966e-01 ; t=2.100e+01, est=9.954e-01 ; t=2.400e+01, est=9.931e-01 ; t=2.500e+01, est=9.931e-01 ; t=2.600e+01, est=9.920e-01 ; t=2.800e+01, est=9.873e-01 ; t=3.300e+01, est=9.873e-01 ; t=3.500e+01, est=9.850e-01 ; t=4.000e+01, est=9.850e-01 ; t=4.100e+01, est=9.838e-01 ; t=6.600e+01, est=9.838e-01 ; t=6.700e+01, est=9.814e-01 ; t=6.900e+01, est=9.814e-01 ; t=7.100e+01, est=9.801e-01 ; t=8.100e+01, est=9.801e-01 ; t=8.200e+01, est=9.789e-01 ; t=9.000e+01, est=9.789e-01 ; t=9.100e+01, est=9.777e-01 ; t=1.650e+02, est=9.777e-01 ; t=1.750e+02, est=9.764e-01 ; t=1.820e+02, est=9.764e-01 ; t=1.830e+02, est=9.752e-01 ; t=2.050e+02, est=9.752e-01 ; t=2.070e+02, est=9.739e-01 ; t=4.190e+02, est=9.739e-01 "
