ctgov,dist,parameter1,parameter2,r
NCT00034840,exp,1,rate,3.125e-02
NCT00051558,exp,1,rate,5.435e-03
NCT00125918,exp,1,rate,1.587e-02
NCT00152984,exp,1,rate,6.250e-02
NCT00153023,exp,1,rate,6.024e-03
NCT00153088,exp,1,rate,1.176e-02
NCT00168831,exp,1,rate,3.937e-03
NCT00168844,exp,1,rate,5.076e-03
NCT00168857,exp,1,rate,5.780e-03
NCT00239421,exp,1,rate,4.000e-02
NCT00274014,exp,1,rate,3.968e-03
NCT00274053,exp,1,rate,9.259e-03
NCT00274079,exp,1,rate,2.000e-02
NCT00274547,exp,1,rate,2.584e-03
NCT00274560,exp,1,rate,1.449e-02
NCT00274573,exp,1,rate,3.460e-03
NCT00274599,exp,1,rate,1.136e-02
NCT00274612,exp,1,rate,1.220e-02
NCT00277264,exp,1,rate,4.587e-03
NCT00321854,exp,1,rate,6.897e-03
NCT00384930,exp,1,rate,6.897e-03
NCT00402233,exp,1,rate,2.703e-02
NCT00466167,exp,1,rate,1.493e-02
NCT00472199,exp,1,rate,1.053e-02
NCT00479401,exp,1,rate,1.031e-02
NCT00525512,exp,1,rate,6.250e-03
NCT00563381,exp,1,rate,8.117e-04
NCT00601250,exp,1,rate,1.961e-02
NCT00602472,exp,1,rate,1.299e-02
NCT00622284,exp,1,rate,2.801e-03
NCT00641043,exp,1,rate,3.030e-02
NCT00654381,exp,1,rate,3.448e-02
NCT00734474,exp,1,rate,2.304e-03
NCT00740051,exp,1,rate,2.000e-02
NCT00772538,exp,1,rate,2.174e-02
NCT00776984,exp,1,rate,1.961e-02
NCT00782210,exp,1,rate,8.403e-03
NCT00782509,exp,1,rate,1.010e-02
NCT00793624,exp,1,rate,5.917e-03
NCT00798161,exp,1,rate,1.000e-02
NCT00800683,exp,1,rate,2.941e-02
NCT00848081,exp,1,rate,2.778e-02
NCT00855582,exp,1,rate,1.429e-02
NCT00861757,exp,1,rate,2.041e-02
NCT00915772,exp,1,rate,9.091e-03
NCT00926289,exp,1,rate,1.724e-02
NCT00954447,exp,1,rate,5.988e-03
NCT00970632,exp,1,rate,1.887e-02
NCT00975195,exp,1,rate,2.188e-03
NCT00996658,exp,1,rate,3.333e-02
NCT01064687,exp,1,rate,9.615e-03
NCT01075282,exp,1,rate,1.190e-02
NCT01084005,exp,1,rate,4.762e-02
NCT01087502,exp,1,rate,2.000e-02
NCT01126437,exp,1,rate,2.553e-04
NCT01126580,exp,1,rate,7.092e-03
NCT01131676,exp,1,rate,2.066e-03
NCT01159600,exp,1,rate,1.010e-02
NCT01164501,exp,1,rate,1.099e-02
NCT01167881,exp,1,rate,4.167e-03
NCT01177813,exp,1,rate,1.075e-02
NCT01191268,exp,1,rate,6.369e-03
NCT01191944,exp,1,rate,2.778e-02
NCT01194830,exp,1,rate,1.887e-02
NCT01204294,exp,1,rate,2.778e-02
NCT01210001,exp,1,rate,2.564e-02
NCT01214239,exp,1,rate,3.448e-02
NCT01306214,exp,1,rate,1.149e-02
NCT01335464,exp,1,rate,8.772e-03
NCT01335477,exp,1,rate,8.264e-03
NCT01368081,exp,1,rate,1.042e-02
NCT01370005,exp,1,rate,2.857e-02
NCT01422876,exp,1,rate,5.208e-03
NCT01558271,exp,1,rate,2.222e-02
NCT01621178,exp,1,rate,1.064e-02
NCT01624259,exp,1,rate,2.703e-02
NCT01694771,exp,1,rate,1.299e-02
NCT01708902,exp,1,rate,1.538e-02
NCT01719003,exp,1,rate,8.264e-03
NCT01769378,exp,1,rate,4.167e-02
NCT02152371,exp,1,rate,3.704e-02
NCT02172287,exp,1,rate,8.547e-03
NCT02172586,exp,1,rate,2.083e-02
NCT02175355,exp,1,rate,1.563e-02
NCT02177344,exp,1,rate,1.299e-02
NCT02177396,exp,1,rate,3.125e-02
NCT02177461,exp,1,rate,9.434e-03
NCT02183064,exp,1,rate,9.091e-03
NCT02200653,exp,1,rate,5.556e-02
NCT02240680,exp,1,rate,4.348e-02
NCT02489968,exp,1,rate,4.167e-02
NCT02750410,exp,1,rate,5.882e-02
NCT00034840,gengamma,mu,mu,7.334e-01
NCT00034840,gengamma,mu,sigma,1.884e+00
NCT00034840,gengamma,mu,Q,-2.441e+00
NCT00034840,gengamma,sigma,mu,1.884e+00
NCT00034840,gengamma,sigma,sigma,6.147e+00
NCT00034840,gengamma,sigma,Q,-8.244e+00
NCT00034840,gengamma,Q,mu,-2.441e+00
NCT00034840,gengamma,Q,sigma,-8.244e+00
NCT00034840,gengamma,Q,Q,1.111e+01
NCT00051558,gengamma,mu,mu,3.118e-02
NCT00051558,gengamma,mu,sigma,-1.352e-02
NCT00051558,gengamma,mu,Q,4.129e-02
NCT00051558,gengamma,sigma,mu,-1.352e-02
NCT00051558,gengamma,sigma,sigma,2.324e-02
NCT00051558,gengamma,sigma,Q,-4.564e-02
NCT00051558,gengamma,Q,mu,4.129e-02
NCT00051558,gengamma,Q,sigma,-4.564e-02
NCT00051558,gengamma,Q,Q,1.071e-01
NCT00125918,gengamma,mu,mu,5.004e-02
NCT00125918,gengamma,mu,sigma,2.184e-02
NCT00125918,gengamma,mu,Q,6.439e-03
NCT00125918,gengamma,sigma,mu,2.184e-02
NCT00125918,gengamma,sigma,sigma,1.222e-02
NCT00125918,gengamma,sigma,Q,3.956e-03
NCT00125918,gengamma,Q,mu,6.439e-03
NCT00125918,gengamma,Q,sigma,3.956e-03
NCT00125918,gengamma,Q,Q,1.317e-03
NCT00152984,gengamma,mu,mu,1.404e+00
NCT00152984,gengamma,mu,sigma,1.248e-01
NCT00152984,gengamma,mu,Q,2.459e-01
NCT00152984,gengamma,sigma,mu,1.248e-01
