ctgov,dist,loglik,aic
NCT00034840,exp,-2.477e+02,4.975e+02
NCT00051558,exp,-1.571e+03,3.144e+03
NCT00125918,exp,-4.734e+02,9.489e+02
NCT00152984,exp,-1.412e+02,2.843e+02
NCT00153023,exp,-1.401e+03,2.803e+03
NCT00153088,exp,-7.644e+02,1.531e+03
NCT00168831,exp,-2.038e+03,4.077e+03
NCT00168844,exp,-1.633e+03,3.269e+03
NCT00168857,exp,-1.450e+03,2.902e+03
NCT00239421,exp,-1.988e+02,3.996e+02
NCT00274014,exp,-2.033e+03,4.067e+03
NCT00274053,exp,-8.738e+02,1.750e+03
NCT00274079,exp,-3.695e+02,7.410e+02
NCT00274547,exp,-2.947e+03,5.896e+03
NCT00274560,exp,-5.261e+02,1.054e+03
NCT00274573,exp,-2.032e+03,4.067e+03
NCT00274599,exp,-6.824e+02,1.367e+03
NCT00274612,exp,-6.427e+02,1.287e+03
NCT00277264,exp,-1.759e+03,3.519e+03
NCT00321854,exp,-1.178e+03,2.359e+03
NCT00384930,exp,-1.070e+03,2.142e+03
NCT00402233,exp,-2.770e+02,5.560e+02
NCT00466167,exp,-5.578e+02,1.118e+03
NCT00472199,exp,-6.846e+02,1.371e+03
NCT00479401,exp,-7.794e+02,1.561e+03
NCT00525512,exp,-1.354e+03,2.711e+03
NCT00563381,exp,-1.055e+04,2.110e+04
NCT00601250,exp,-4.451e+02,8.922e+02
NCT00602472,exp,-6.716e+02,1.345e+03
NCT00622284,exp,-3.180e+03,6.361e+03
NCT00641043,exp,-2.821e+02,5.662e+02
NCT00654381,exp,-2.833e+02,5.686e+02
NCT00734474,exp,-3.582e+03,7.166e+03
NCT00740051,exp,-4.142e+02,8.303e+02
NCT00772538,exp,-4.167e+02,8.355e+02
NCT00776984,exp,-4.564e+02,9.148e+02
NCT00782210,exp,-9.941e+02,1.990e+03
NCT00782509,exp,-8.502e+02,1.702e+03
NCT00793624,exp,-1.413e+03,2.827e+03
NCT00798161,exp,-8.129e+02,1.628e+03
NCT00800683,exp,-2.744e+02,5.509e+02
NCT00848081,exp,-2.720e+02,5.460e+02
NCT00855582,exp,-5.276e+02,1.057e+03
NCT00861757,exp,-3.884e+02,7.788e+02
NCT00915772,exp,-9.318e+02,1.866e+03
NCT00926289,exp,-4.395e+02,8.810e+02
NCT00954447,exp,-1.516e+03,3.034e+03
NCT00970632,exp,-4.070e+02,8.161e+02
NCT00975195,exp,-3.875e+03,7.751e+03
NCT00996658,exp,-2.486e+02,4.992e+02
NCT01064687,exp,-9.439e+02,1.890e+03
NCT01075282,exp,-7.983e+02,1.599e+03
NCT01084005,exp,-1.788e+02,3.597e+02
NCT01087502,exp,-4.159e+02,8.338e+02
NCT01126437,exp,-3.550e+04,7.100e+04
NCT01126580,exp,-1.204e+03,2.410e+03
NCT01131676,exp,-4.109e+03,8.220e+03
NCT01159600,exp,-8.584e+02,1.719e+03
NCT01164501,exp,-8.112e+02,1.624e+03
NCT01167881,exp,-2.378e+03,4.758e+03
NCT01177813,exp,-7.762e+02,1.554e+03
NCT01191268,exp,-1.336e+03,2.674e+03
NCT01191944,exp,-3.010e+02,6.040e+02
NCT01194830,exp,-3.896e+02,7.812e+02
NCT01204294,exp,-3.465e+02,6.950e+02
NCT01210001,exp,-3.372e+02,6.764e+02
NCT01214239,exp,-2.439e+02,4.899e+02
NCT01306214,exp,-7.557e+02,1.513e+03
NCT01335464,exp,-9.430e+02,1.888e+03
NCT01335477,exp,-1.001e+03,2.005e+03
NCT01368081,exp,-8.972e+02,1.796e+03
NCT01370005,exp,-3.006e+02,6.031e+02
NCT01422876,exp,-1.685e+03,3.371e+03
NCT01558271,exp,-4.155e+02,8.330e+02
NCT01621178,exp,-8.096e+02,1.621e+03
NCT01624259,exp,-3.316e+02,6.653e+02
NCT01694771,exp,-6.246e+02,1.251e+03
NCT01708902,exp,-5.519e+02,1.106e+03
NCT01719003,exp,-1.028e+03,2.059e+03
NCT01769378,exp,-2.065e+02,4.150e+02
NCT02152371,exp,-2.331e+02,4.682e+02
NCT02172287,exp,-8.970e+02,1.796e+03
NCT02172586,exp,-3.884e+02,7.789e+02
NCT02175355,exp,-4.796e+02,9.613e+02
NCT02177344,exp,-6.270e+02,1.256e+03
NCT02177396,exp,-2.422e+02,4.865e+02
NCT02177461,exp,-7.676e+02,1.537e+03
NCT02183064,exp,-9.433e+02,1.889e+03
NCT02200653,exp,-1.456e+02,2.932e+02
