ctgov,dist,parameter,est,se
NCT00034840,exp,rate,-6.742e+00,1.768e-01
NCT00051558,exp,rate,-7.537e+00,7.372e-02
NCT00125918,exp,rate,-6.515e+00,1.260e-01
NCT00152984,exp,rate,-7.823e+00,2.500e-01
NCT00153023,exp,rate,-7.438e+00,7.762e-02
NCT00153088,exp,rate,-7.992e+00,1.085e-01
NCT00168831,exp,rate,-7.022e+00,6.275e-02
NCT00168844,exp,rate,-7.291e+00,7.125e-02
NCT00168857,exp,rate,-7.382e+00,7.603e-02
NCT00239421,exp,rate,-6.953e+00,2.000e-01
NCT00274014,exp,rate,-7.066e+00,6.299e-02
NCT00274053,exp,rate,-7.090e+00,9.623e-02
NCT00274079,exp,rate,-6.390e+00,1.414e-01
NCT00274547,exp,rate,-6.615e+00,5.083e-02
NCT00274560,exp,rate,-6.625e+00,1.204e-01
NCT00274573,exp,rate,-6.033e+00,5.882e-02
NCT00274599,exp,rate,-6.754e+00,1.066e-01
NCT00274612,exp,rate,-6.837e+00,1.104e-01
NCT00277264,exp,rate,-7.067e+00,6.773e-02
NCT00321854,exp,rate,-7.126e+00,8.305e-02
NCT00384930,exp,rate,-6.378e+00,8.305e-02
NCT00402233,exp,rate,-6.486e+00,1.644e-01
NCT00466167,exp,rate,-7.326e+00,1.222e-01
NCT00472199,exp,rate,-6.206e+00,1.026e-01
NCT00479401,exp,rate,-7.035e+00,1.015e-01
NCT00525512,exp,rate,-7.465e+00,7.906e-02
NCT00563381,exp,rate,-7.563e+00,2.849e-02
NCT00601250,exp,rate,-7.727e+00,1.400e-01
NCT00602472,exp,rate,-7.721e+00,1.140e-01
NCT00622284,exp,rate,-7.907e+00,5.293e-02
NCT00641043,exp,rate,-7.548e+00,1.741e-01
NCT00654381,exp,rate,-8.768e+00,1.857e-01
NCT00734474,exp,rate,-7.254e+00,4.800e-02
NCT00740051,exp,rate,-7.283e+00,1.414e-01
NCT00772538,exp,rate,-8.059e+00,1.474e-01
NCT00776984,exp,rate,-7.949e+00,1.400e-01
NCT00782210,exp,rate,-7.353e+00,9.167e-02
NCT00782509,exp,rate,-7.588e+00,1.005e-01
NCT00793624,exp,rate,-7.359e+00,7.692e-02
NCT00798161,exp,rate,-7.129e+00,1.000e-01
NCT00800683,exp,rate,-7.072e+00,1.715e-01
NCT00848081,exp,rate,-6.556e+00,1.667e-01
NCT00855582,exp,rate,-6.538e+00,1.195e-01
NCT00861757,exp,rate,-6.927e+00,1.429e-01
NCT00915772,exp,rate,-7.471e+00,9.535e-02
NCT00926289,exp,rate,-6.577e+00,1.313e-01
NCT00954447,exp,rate,-8.077e+00,7.738e-02
NCT00970632,exp,rate,-6.680e+00,1.374e-01
NCT00975195,exp,rate,-7.478e+00,4.678e-02
NCT00996658,exp,rate,-7.286e+00,1.826e-01
NCT01064687,exp,rate,-8.076e+00,9.806e-02
NCT01075282,exp,rate,-8.504e+00,1.091e-01
NCT01084005,exp,rate,-7.516e+00,2.182e-01
NCT01087502,exp,rate,-7.318e+00,1.414e-01
NCT01126437,exp,rate,-8.063e+00,1.598e-02
NCT01126580,exp,rate,-7.538e+00,8.422e-02
NCT01131676,exp,rate,-7.489e+00,4.545e-02
NCT01159600,exp,rate,-7.671e+00,1.005e-01
NCT01164501,exp,rate,-7.914e+00,1.048e-01
NCT01167881,exp,rate,-8.909e+00,6.455e-02
NCT01177813,exp,rate,-7.346e+00,1.037e-01
NCT01191268,exp,rate,-7.510e+00,7.981e-02
NCT01191944,exp,rate,-7.361e+00,1.667e-01
NCT01194830,exp,rate,-6.351e+00,1.374e-01
NCT01204294,exp,rate,-8.626e+00,1.667e-01
NCT01210001,exp,rate,-7.647e+00,1.601e-01
NCT01214239,exp,rate,-7.412e+00,1.857e-01
NCT01306214,exp,rate,-7.686e+00,1.072e-01
NCT01335464,exp,rate,-7.272e+00,9.366e-02
NCT01335477,exp,rate,-7.275e+00,9.091e-02
NCT01368081,exp,rate,-8.346e+00,1.021e-01
NCT01370005,exp,rate,-7.588e+00,1.690e-01
NCT01422876,exp,rate,-7.774e+00,7.217e-02
NCT01558271,exp,rate,-8.233e+00,1.491e-01
NCT01621178,exp,rate,-7.612e+00,1.031e-01
NCT01624259,exp,rate,-7.963e+00,1.644e-01
NCT01694771,exp,rate,-7.112e+00,1.140e-01
NCT01708902,exp,rate,-7.491e+00,1.240e-01
NCT01719003,exp,rate,-7.499e+00,9.091e-02
NCT01769378,exp,rate,-7.604e+00,2.041e-01
NCT02152371,exp,rate,-7.633e+00,1.925e-01
NCT02172287,exp,rate,-6.667e+00,9.245e-02
NCT02172586,exp,rate,-7.093e+00,1.443e-01
NCT02175355,exp,rate,-6.494e+00,1.250e-01
NCT02177344,exp,rate,-7.143e+00,1.140e-01
NCT02177396,exp,rate,-6.570e+00,1.768e-01
NCT02177461,exp,rate,-6.242e+00,9.713e-02
NCT02183064,exp,rate,-7.575e+00,9.535e-02
NCT02200653,exp,rate,-7.089e+00,2.357e-01
NCT02240680,exp,rate,-7.963e+00,2.085e-01
NCT02489968,exp,rate,-8.494e+00,2.041e-01
NCT02750410,exp,rate,-8.067e+00,2.425e-01
NCT00034840,gengamma,mu,6.399e+00,8.564e-01
NCT00034840,gengamma,sigma,-3.477e-01,2.479e+00
NCT00034840,gengamma,Q,1.321e+00,3.333e+00
NCT00051558,gengamma,mu,7.516e+00,1.766e-01
NCT00051558,gengamma,sigma,5.663e-01,1.524e-01
NCT00051558,gengamma,Q,3.233e-01,3.273e-01
NCT00125918,gengamma,mu,6.273e+00,2.237e-01
NCT00125918,gengamma,sigma,-9.105e-01,1.105e-01
NCT00125918,gengamma,Q,2.344e+00,3.629e-02
NCT00152984,gengamma,mu,9.082e+00,1.185e+00
NCT00152984,gengamma,sigma,-5.916e-02,1.182e-01
NCT00152984,gengamma,Q,1.563e+00,2.104e-01
NCT00153023,gengamma,mu,8.560e+00,3.033e-01
NCT00153023,gengamma,sigma,1.229e+00,2.112e-01
NCT00153023,gengamma,Q,-2.474e-01,5.042e-01
NCT00153088,gengamma,mu,8.580e+00,3.211e-01
NCT00153088,gengamma,sigma,7.140e-01,4.264e-01
NCT00153088,gengamma,Q,2.762e-01,6.666e-01
NCT00168831,gengamma,mu,7.566e+00,2.887e-01
NCT00168831,gengamma,sigma,1.149e+00,1.466e-01
NCT00168831,gengamma,Q,-3.086e-01,4.224e-01
NCT00168844,gengamma,mu,8.222e+00,3.180e-01
NCT00168844,gengamma,sigma,1.234e+00,1.878e-01
NCT00168844,gengamma,Q,-3.481e-01,5.063e-01
NCT00168857,gengamma,mu,7.742e+00,3.958e-01
NCT00168857,gengamma,sigma,-4.859e-01,2.159e+00
NCT00168857,gengamma,Q,2.195e+00,4.740e+00
NCT00239421,gengamma,mu,6.670e+00,6.012e-01
NCT00239421,gengamma,sigma,-5.351e-01,1.395e-01
NCT00239421,gengamma,Q,1.677e+00,9.992e-02
NCT00274014,gengamma,mu,7.315e+00,2.083e-01
NCT00274014,gengamma,sigma,8.996e-01,1.576e-01
NCT00274014,gengamma,Q,-1.952e-01,4.099e-01
NCT00274053,gengamma,mu,7.429e+00,3.794e-01
NCT00274053,gengamma,sigma,1.073e+00,2.003e-01
NCT00274053,gengamma,Q,-5.704e-01,6.268e-01
NCT00274079,gengamma,mu,6.679e+00,1.379e+00
NCT00274079,gengamma,sigma,1.427e+00,2.184e-01
NCT00274079,gengamma,Q,-1.604e+00,1.566e+00
NCT00274547,gengamma,mu,7.223e+00,1.228e-01
NCT00274547,gengamma,sigma,-6.629e-01,4.826e-02
NCT00274547,gengamma,Q,2.885e+00,9.179e-03
NCT00274560,gengamma,mu,7.341e+00,5.773e-01
NCT00274560,gengamma,sigma,-3.027e-01,4.215e+00
NCT00274560,gengamma,Q,1.964e+00,8.277e+00
NCT00274573,gengamma,mu,6.154e+00,4.872e-01
NCT00274573,gengamma,sigma,1.339e+00,8.210e-02
NCT00274573,gengamma,Q,-1.305e+00,5.245e-01
NCT00274599,gengamma,mu,7.728e+00,4.617e-01
NCT00274599,gengamma,sigma,8.810e-01,4.316e-01
NCT00274599,gengamma,Q,1.025e-01,6.696e-01
NCT00274612,gengamma,mu,7.203e+00,4.750e-01
NCT00274612,gengamma,sigma,4.985e-01,4.704e-01
NCT00274612,gengamma,Q,4.235e-01,5.831e-01
NCT00277264,gengamma,mu,7.144e+00,5.713e-01
NCT00277264,gengamma,sigma,1.374e+00,8.765e-02
NCT00277264,gengamma,Q,-1.075e+00,5.269e-01
NCT00321854,gengamma,mu,7.104e+00,2.587e-01
NCT00321854,gengamma,sigma,8.172e-01,1.628e-01
NCT00321854,gengamma,Q,-3.218e-01,4.739e-01
NCT00384930,gengamma,mu,6.736e+00,2.655e-01
NCT00384930,gengamma,sigma,9.793e-01,2.441e-01
NCT00384930,gengamma,Q,-5.331e-01,6.685e-01
NCT00402233,gengamma,mu,4.706e+00,9.495e-01
NCT00402233,gengamma,sigma,1.326e+00,1.381e-01
NCT00402233,gengamma,Q,-4.004e+00,1.455e+00
NCT00466167,gengamma,mu,8.239e+00,3.915e-01
NCT00466167,gengamma,sigma,-4.295e-01,1.160e-01
NCT00466167,gengamma,Q,2.427e+00,2.015e-02
NCT00472199,gengamma,mu,5.479e+00,6.232e-01
NCT00472199,gengamma,sigma,1.190e+00,8.420e-02
NCT00472199,gengamma,Q,-1.392e+00,5.937e-01
NCT00479401,gengamma,mu,8.215e+00,5.956e-01
NCT00479401,gengamma,sigma,1.386e+00,2.650e-01
NCT00479401,gengamma,Q,-5.494e-01,8.212e-01
NCT00525512,gengamma,mu,7.927e+00,2.300e-01
NCT00525512,gengamma,sigma,8.983e-01,1.914e-01
NCT00525512,gengamma,Q,1.893e-01,3.889e-01
NCT00563381,gengamma,mu,8.582e+00,1.566e-01
NCT00563381,gengamma,sigma,1.352e+00,6.737e-02
NCT00563381,gengamma,Q,-6.561e-01,2.184e-01
NCT00601250,gengamma,mu,8.106e+00,4.478e-01
NCT00601250,gengamma,sigma,-3.949e-01,1.124e-01
NCT00601250,gengamma,Q,1.854e+00,5.135e-02
NCT00602472,gengamma,mu,8.258e+00,8.384e-01
NCT00602472,gengamma,sigma,5.242e-01,7.061e-01
NCT00602472,gengamma,Q,4.598e-01,8.058e-01
NCT00622284,gengamma,mu,8.563e+00,1.519e-01
NCT00622284,gengamma,sigma,9.440e-01,1.486e-01
NCT00622284,gengamma,Q,6.270e-02,2.983e-01
NCT00641043,gengamma,mu,8.398e+00,1.255e+00
NCT00641043,gengamma,sigma,-2.860e-01,1.081e+01
NCT00641043,gengamma,Q,1.960e+00,2.119e+01
NCT00654381,gengamma,mu,5.499e+00,4.681e-01
NCT00654381,gengamma,sigma,-3.681e-01,9.832e-01
NCT00654381,gengamma,Q,-1.545e+01,1.782e+01
NCT00734474,gengamma,mu,7.332e+00,9.814e-02
NCT00734474,gengamma,sigma,4.327e-01,1.448e-01
NCT00734474,gengamma,Q,5.569e-01,2.600e-01
NCT00740051,gengamma,mu,7.344e+00,3.079e-01
NCT00740051,gengamma,sigma,6.738e-01,3.479e-01
NCT00740051,gengamma,Q,-8.096e-02,7.565e-01
NCT00772538,gengamma,mu,9.266e+00,6.510e-01
NCT00772538,gengamma,sigma,4.363e-02,2.427e+00
NCT00772538,gengamma,Q,1.607e+00,3.911e+00
NCT00776984,gengamma,mu,8.203e+00,3.582e-01
NCT00776984,gengamma,sigma,8.034e-01,5.016e-01
NCT00776984,gengamma,Q,-2.817e-01,1.055e+00
NCT00782210,gengamma,mu,8.298e+00,2.877e-01
NCT00782210,gengamma,sigma,8.897e-01,3.418e-01
NCT00782210,gengamma,Q,2.783e-01,5.537e-01
NCT00782509,gengamma,mu,8.343e+00,2.921e-01
NCT00782509,gengamma,sigma,-3.341e-01,9.104e-02
NCT00782509,gengamma,Q,2.162e+00,2.290e-02
NCT00793624,gengamma,mu,8.304e+00,2.956e-01
NCT00793624,gengamma,sigma,1.184e+00,2.077e-01
NCT00793624,gengamma,Q,-2.945e-01,5.160e-01
NCT00798161,gengamma,mu,8.291e+00,3.582e-01
NCT00798161,gengamma,sigma,1.189e+00,3.346e-01
NCT00798161,gengamma,Q,-3.782e-01,7.873e-01
NCT00800683,gengamma,mu,7.447e+00,3.781e-01
NCT00800683,gengamma,sigma,6.441e-01,4.599e-01
